spec,comp,plot.id,abundance
CAL,N3,N3_5_90,1
MOL,N3,N3_4_30,1
AAL,N3,N3_2_100,1
AAL,N3,N3_5_100,1
AB,N15,N15  _5_50,1
AB,N15,N15 _ 4_100,1
AB,N15,N15 _2_160,1
AC,N3,N3_4_100,12
AC,N3,N3_4_110,8
AL,N15,N15  _5_160,2
AL,N15,N15  _5_180,1
AL,N15,N15  _5_190,1
AL,N15,N15  _5_30,1
AL,N15,N15 _ 4_100,1
AL,N15,N15 _ 4_140,1
AL,N15,N15 _ 4_150,1
AL,N15,N15 _2_140,1
AL,N15,N15 _2_150,2
AL,N3,N3_1_100,3
AL,N3,N3_1_140,2
AL,N3,N3_1_150,3
AL,N3,N3_1_160,1
AL,N3,N3_1_170,1
AL,N3,N3_1_180,1
AL,N3,N3_1_30,2
AL,N3,N3_1_40,1
AL,N3,N3_1_60,4
AL,N3,N3_2_100,1
AL,N3,N3_2_120,7
AL,N3,N3_2_130,1
AL,N3,N3_2_140,1
AL,N3,N3_2_150,1
AL,N3,N3_2_160,1
AL,N3,N3_2_170,7
AL,N3,N3_2_190,1
AL,N3,N3_2_20,2
AL,N3,N3_2_40,3
AL,N3,N3_2_80,1
AL,N3,N3_3_10,1
AL,N3,N3_3_110,3
AL,N3,N3_3_120,3
AL,N3,N3_3_130,2
AL,N3,N3_3_140,3
AL,N3,N3_3_160,1
AL,N3,N3_3_170,1
AL,N3,N3_3_180,1
AL,N3,N3_3_190,3
AL,N3,N3_3_20,1
AL,N3,N3_3_200,4
AL,N3,N3_3_30,1
AL,N3,N3_3_40,1
AL,N3,N3_3_60,2
AL,N3,N3_3_70,3
AL,N3,N3_4_10,5
AL,N3,N3_4_140,1
AL,N3,N3_4_180,1
AL,N3,N3_4_190,1
AL,N3,N3_4_210,1
AL,N3,N3_4_30,1
AL,N3,N3_4_40,1
AL,N3,N3_4_60,2
AL,N3,N3_4_70,2
AL,N3,N3_5_10,8
AL,N3,N3_5_110,2
AL,N3,N3_5_130,2
AL,N3,N3_5_160,1
AL,N3,N3_5_170,2
AL,N3,N3_5_180,1
AL,N3,N3_5_20,1
AL,N3,N3_5_30,4
AL,N3,N3_5_50,2
AL,N3,N3_5_70,1
AL,N3,N3_5_80,1
AL,N3,N3_5_90,3
ALB,N3,N3_2_70,3
ANL,N15,N15  _5_120,1
ANL,N15,N15  _5_130,1
ANL,N15,N15  _5_160,1
ANL,N15,N15  _5_30,1
ANL,N15,N15  _5_70,1
ANL,N15,N15 _ 4_100,1
ANL,N15,N15 _ 4_120,1
ANL,N15,N15 _ 4_160,1
ANL,N15,N15 _ 4_170,2
ANL,N15,N15 _ 4_60,1
ANL,N15,N15 _ 4_90,1
ANL,N15,N15 _1_10,2
ANL,N15,N15 _1_180,1
ANL,N15,N15 _1_190,1
ANL,N15,N15 _1_30,1
ANL,N15,N15 _1_60,1
ANL,N15,N15 _1_70,1
ANL,N15,N15 _1_80,1
ANL,N15,N15 _2_100,3
ANL,N15,N15 _2_120,1
ANL,N15,N15 _2_130,1
ANL,N15,N15 _2_160,2
ANL,N15,N15 _2_180,1
ANL,N15,N15 _2_190,1
ANL,N15,N15 _2_40,2
ANL,N15,N15 _2_50,1
ANL,N15,N15 _2_60,1
ANL,N15,N15 _2_70,2
ANL,N15,N15 _2_80,1
ANL,N15,N15 _2_90,1
ANL,N15,N15 _3_100,1
ANL,N15,N15 _3_130,2
ANL,N15,N15 _3_190,1
ANL,N3,N3_1_150,1
ANL,N3,N3_1_170,1
ANL,N3,N3_1_190,1
ANL,N3,N3_1_60,1
ANL,N3,N3_1_80,1
ANL,N3,N3_2_110,1
ANL,N3,N3_4_10,2
ANL,N3,N3_4_100,1
ANL,N3,N3_4_150,1
ANL,N3,N3_4_180,1
ANL,N3,N3_4_200,1
ANL,N3,N3_4_40,2
ANL,N3,N3_4_70,1
ANL,N3,N3_4_90,1
ANL,N3,N3_5_190,1
ANL,N3,N3_5_210,1
ANT,N15,N15  _5_100,1
ANT,N15,N15  _5_110,1
ANT,N15,N15  _5_140,1
ANT,N15,N15  _5_180,2
ANT,N15,N15 _ 4_10,1
ANT,N15,N15 _1_100,1
ANT,N15,N15 _1_180,2
ANT,N15,N15 _1_190,1
ANT,N15,N15 _1_20,3
ANT,N15,N15 _1_80,2
ANT,N15,N15 _2_150,1
ANT,N15,N15 _2_20,3
ANT,N15,N15 _2_50,1
ANT,N15,N15 _2_80,1
ANT,N15,N15 _3_110,2
ANT,N15,N15 _3_130,2
ANT,N15,N15 _3_180,1
ANT,N15,N15 _3_20,1
ANT,N15,N15 _3_30,1
ANT,N15,N15 _3_70,1
ANT,N15,N15 _3_90,1
ANT,N3,N3_1_10,3
ANT,N3,N3_1_110,1
ANT,N3,N3_1_120,1
ANT,N3,N3_1_130,1
ANT,N3,N3_1_140,1
ANT,N3,N3_1_160,1
ANT,N3,N3_1_180,1
ANT,N3,N3_1_190,1
ANT,N3,N3_1_200,2
ANT,N3,N3_1_50,2
ANT,N3,N3_1_60,1
ANT,N3,N3_1_90,1
ANT,N3,N3_2_10,1
ANT,N3,N3_2_100,2
ANT,N3,N3_2_110,1
ANT,N3,N3_2_120,3
ANT,N3,N3_2_130,2
ANT,N3,N3_2_140,3
ANT,N3,N3_2_160,3
ANT,N3,N3_2_210,2
ANT,N3,N3_2_220,2
ANT,N3,N3_2_30,1
ANT,N3,N3_2_70,1
ANT,N3,N3_2_90,1
ANT,N3,N3_3_20,2
ANT,N3,N3_3_40,1
ANT,N3,N3_4_10,1
ANT,N3,N3_4_120,2
ANT,N3,N3_4_140,3
ANT,N3,N3_4_170,1
ANT,N3,N3_4_190,1
ANT,N3,N3_4_40,2
ANT,N3,N3_4_60,1
ANT,N3,N3_4_70,1
ANT,N3,N3_5_140,1
ANT,N3,N3_5_170,1
ANT,N3,N3_5_180,2
ANT,N3,N3_5_200,1
ANT,N3,N3_5_90,1
ANT,N3,N3_3_110,2
ANT,N3,N3_3_140,1
ANT,N3,N3_3_170,1
ANT,N3,N3_3_190,1
ANT,N3,N3_3_200,1
ANT,N3,N3_5_10,1
AZ,N15,N15 _ 4_190,1
AZ,N15,N15 _1_40,1
AZ,N15,N15 _1_50,1
AZ,N15,N15 _1_60,1
AZ,N15,N15 _2_100,1
AZ,N15,N15 _2_150,3
AZ,N15,N15 _2_30,1
AZ,N15,N15 _3_130,1
AZ,N3,N3_1_10,1
AZ,N3,N3_1_100,5
AZ,N3,N3_1_110,2
AZ,N3,N3_1_130,2
AZ,N3,N3_1_180,1
AZ,N3,N3_1_20,4
AZ,N3,N3_1_40,2
AZ,N3,N3_1_50,6
AZ,N3,N3_1_60,3
AZ,N3,N3_1_70,12
AZ,N3,N3_1_80,6
AZ,N3,N3_1_90,1
AZ,N3,N3_2_10,1
AZ,N3,N3_2_100,2
AZ,N3,N3_2_110,11
AZ,N3,N3_2_130,7
AZ,N3,N3_2_140,3
AZ,N3,N3_2_150,1
AZ,N3,N3_2_160,11
AZ,N3,N3_2_170,1
AZ,N3,N3_2_180,3
AZ,N3,N3_2_190,4
AZ,N3,N3_2_20,1
AZ,N3,N3_2_200,5
AZ,N3,N3_2_240,1
AZ,N3,N3_2_30,1
AZ,N3,N3_2_40,30
AZ,N3,N3_2_50,4
AZ,N3,N3_2_60,1
AZ,N3,N3_2_80,1
AZ,N3,N3_2_90,1
AZ,N3,N3_3_10,1
AZ,N3,N3_3_110,2
AZ,N3,N3_3_160,5
AZ,N3,N3_3_190,4
AZ,N3,N3_3_20,2
AZ,N3,N3_3_200,3
AZ,N3,N3_3_30,7
AZ,N3,N3_3_40,5
AZ,N3,N3_3_50,6
AZ,N3,N3_3_60,2
AZ,N3,N3_3_70,3
AZ,N3,N3_4_120,1
AZ,N3,N3_4_130,1
AZ,N3,N3_4_20,1
AZ,N3,N3_4_60,3
AZ,N3,N3_4_70,1
AZ,N3,N3_4_90,2
AZ,N3,N3_5_160,27
AZ,N3,N3_5_170,5
AZ,N3,N3_5_20,2
AZ,N3,N3_5_200,6
AZ,N3,N3_5_210,4
AZ,N3,N3_5_50,1
AZ,N3,N3_5_90,1
BEH,N15,N15  _5_140,6
BEH,N15,N15  _5_150,1
BEH,N15,N15  _5_170,1
BEH,N15,N15  _5_80,1
BEH,N15,N15 _ 4_110,1
BEH,N15,N15 _ 4_130,2
BEH,N15,N15 _ 4_190,2
BEH,N15,N15 _ 4_70,1
BEH,N15,N15 _ 4_90,3
BEH,N15,N15 _1_10,1
BEH,N15,N15 _1_100,1
BEH,N15,N15 _1_120,2
BEH,N15,N15 _1_130,1
BEH,N15,N15 _1_140,1
BEH,N15,N15 _1_150,2
BEH,N15,N15 _1_180,1
BEH,N15,N15 _1_190,1
BEH,N15,N15 _1_200,2
BEH,N15,N15 _1_50,4
BEH,N15,N15 _1_70,1
BEH,N15,N15 _2_10,1
BEH,N15,N15 _2_130,1
BEH,N15,N15 _2_140,1
BEH,N15,N15 _2_160,2
BEH,N15,N15 _2_180,1
BEH,N15,N15 _2_190,1
BEH,N15,N15 _2_20,1
BEH,N15,N15 _2_200,3
BEH,N15,N15 _2_40,1
BEH,N15,N15 _2_50,1
BEH,N15,N15 _2_60,5
BEH,N15,N15 _2_80,3
BEH,N15,N15 _3_100,1
BEH,N15,N15 _3_110,1
BEH,N15,N15 _3_120,2
BEH,N15,N15 _3_150,2
BEH,N15,N15 _3_40,1
BEH,N15,N15 _3_50,1
BEH,N15,N15 _3_70,2
BEH,N15,N15 _3_80,1
BEH,N3,N3_1_100,1
BEH,N3,N3_1_110,1
BEH,N3,N3_1_190,2
BEH,N3,N3_1_200,5
BEH,N3,N3_1_80,1
BEH,N3,N3_1_90,2
BEH,N3,N3_2_150,1
BEH,N3,N3_2_190,1
BEH,N3,N3_2_200,2
BEH,N3,N3_2_220,1
BEH,N3,N3_2_40,1
BEH,N3,N3_3_130,1
BEH,N3,N3_4_10,2
BEH,N3,N3_4_140,2
BEH,N3,N3_4_150,4
BEH,N3,N3_4_160,1
BEH,N3,N3_4_190,2
BEH,N3,N3_4_20,1
BEH,N3,N3_4_210,2
BEH,N3,N3_4_30,2
BEH,N3,N3_4_40,1
BEH,N3,N3_4_50,1
BEH,N3,N3_4_60,2
BEH,N3,N3_4_70,2
BEH,N3,N3_5_100,1
BEH,N3,N3_5_110,3
BEH,N3,N3_5_130,1
BEH,N3,N3_5_190,1
BEH,N3,N3_5_20,1
BEH,N3,N3_5_200,1
BEH,N3,N3_5_60,2
BEH,N3,N3_5_70,1
BEH,N3,N3_5_80,2
BEH,N3,N3_5_90,10
BEO,N15,N15  _5_120,1
BEO,N15,N15  _5_130,1
BEO,N15,N15  _5_140,3
BEO,N15,N15  _5_160,1
BEO,N15,N15  _5_170,1
BEO,N15,N15  _5_70,1
BEO,N15,N15  _5_80,1
BEO,N15,N15 _ 4_120,4
BEO,N15,N15 _ 4_180,1
BEO,N15,N15 _ 4_190,3
BEO,N15,N15 _ 4_60,1
BEO,N15,N15 _2_190,5
BEO,N15,N15 _2_200,1
BEO,N15,N15 _2_40,1
BEO,N15,N15 _2_60,1
BEO,N15,N15 _3_120,1
BEO,N15,N15 _3_150,1
BEO,N15,N15 _3_170,1
BEO,N15,N15 _3_200,1
BEO,N15,N15 _3_40,1
BLU,N3,N3_2_100,2
BP,N15,N15 _ 4_10,1
BP,N15,N15 _ 4_160,1
BP,N15,N15 _1_40,1
BP,N15,N15 _3_140,1
BP,N15,N15 _3_70,1
BP,N15,N15 _3_90,1
BP,N3,N3_1_170,1
BP,N3,N3_1_180,2
BP,N3,N3_1_30,2
BP,N3,N3_1_70,1
BP,N3,N3_2_10,1
BP,N3,N3_2_20,1
BP,N3,N3_2_30,1
BP,N3,N3_3_170,2
BP,N3,N3_3_180,1
BP,N3,N3_3_190,2
BP,N3,N3_3_30,1
BP,N3,N3_3_70,1
BP,N3,N3_4_10,1
BP,N3,N3_4_110,1
BP,N3,N3_4_120,1
BP,N3,N3_4_50,1
BP,N3,N3_5_140,1
BP,N3,N3_5_160,2
CAL,N15,N15  _5_100,2
CAL,N15,N15  _5_110,2
CAL,N15,N15  _5_120,1
CAL,N15,N15  _5_140,1
CAL,N15,N15  _5_180,2
CAL,N15,N15  _5_190,1
CAL,N15,N15  _5_20,6
CAL,N15,N15  _5_200,3
CAL,N15,N15  _5_30,1
CAL,N15,N15  _5_50,1
CAL,N15,N15  _5_80,1
CAL,N15,N15  _5_90,5
CAL,N15,N15 _ 4_10,1
CAL,N15,N15 _ 4_100,34
CAL,N15,N15 _ 4_130,3
CAL,N15,N15 _ 4_160,1
CAL,N15,N15 _ 4_170,1
CAL,N15,N15 _ 4_180,2
CAL,N15,N15 _ 4_190,3
CAL,N15,N15 _ 4_20,1
CAL,N15,N15 _ 4_40,1
CAL,N15,N15 _ 4_50,3
CAL,N15,N15 _ 4_60,1
CAL,N15,N15 _ 4_70,5
CAL,N15,N15 _ 4_80,2
CAL,N15,N15 _1_140,2
CAL,N15,N15 _1_150,2
CAL,N15,N15 _1_160,2
CAL,N15,N15 _1_190,1
CAL,N15,N15 _1_40,1
CAL,N15,N15 _1_60,3
CAL,N15,N15 _1_70,1
CAL,N15,N15 _1_80,3
CAL,N15,N15 _2_100,1
CAL,N15,N15 _2_120,2
CAL,N15,N15 _2_130,2
CAL,N15,N15 _2_140,4
CAL,N15,N15 _2_160,1
CAL,N15,N15 _2_170,2
CAL,N15,N15 _2_200,1
CAL,N15,N15 _2_40,1
CAL,N15,N15 _2_60,3
CAL,N15,N15 _2_70,1
CAL,N15,N15 _2_80,2
CAL,N15,N15 _3_10,2
CAL,N15,N15 _3_110,1
CAL,N15,N15 _3_130,2
CAL,N15,N15 _3_140,3
CAL,N15,N15 _3_150,2
CAL,N15,N15 _3_180,1
CAL,N15,N15 _3_190,1
CAL,N15,N15 _3_200,1
CAL,N15,N15 _3_30,1
CAL,N15,N15 _3_50,1
CAL,N15,N15 _3_60,9
CAL,N15,N15 _3_70,1
CAL,N15,N15 _3_90,1
CAL,N3,N3_1_110,1
CAL,N3,N3_1_130,1
CAL,N3,N3_1_140,4
CAL,N3,N3_1_150,3
CAL,N3,N3_1_200,2
CAL,N3,N3_1_30,2
CAL,N3,N3_1_60,1
CAL,N3,N3_2_10,1
CAL,N3,N3_2_100,1
CAL,N3,N3_2_120,1
CAL,N3,N3_2_140,1
CAL,N3,N3_2_200,2
CAL,N3,N3_2_210,1
CAL,N3,N3_2_220,1
CAL,N3,N3_2_240,1
CAL,N3,N3_2_250,2
CAL,N3,N3_2_30,1
CAL,N3,N3_2_40,3
CAL,N3,N3_2_50,1
CAL,N3,N3_2_80,1
CAL,N3,N3_2_90,2
CAL,N3,N3_3_130,1
CAL,N3,N3_3_140,2
CAL,N3,N3_3_150,3
CAL,N3,N3_3_160,2
CAL,N3,N3_3_170,1
CAL,N3,N3_3_180,1
CAL,N3,N3_3_200,1
CAL,N3,N3_4_120,1
CAL,N3,N3_4_160,2
CAL,N3,N3_4_190,1
CAL,N3,N3_4_20,2
CAL,N3,N3_4_200,1
CAL,N3,N3_4_210,2
CAL,N3,N3_4_40,3
CAL,N3,N3_5_10,1
CAL,N3,N3_5_100,2
CAL,N3,N3_5_110,1
CAL,N3,N3_5_130,4
CAL,N3,N3_5_150,2
CAL,N3,N3_5_180,1
CAL,N3,N3_5_190,1
CAL,N3,N3_5_210,1
CAL,N3,N3_5_50,2
CAL,N3,N3_5_60,1
CAL,N3,N3_5_70,1
CAL,N3,N3_5_80,1
CAL,N3,N3_5_90,1
CDU,N3,N3_2_80,6
CITROPSIS,N15,N15  _5_110,1
CITROPSIS,N15,N15 _ 4_60,1
CITROPSIS,N15,N15 _1_40,2
CITROPSIS,N15,N15 _1_80,1
CITROPSIS,N15,N15 _3_140,2
CITROPSIS,N15,N15 _3_80,1
CITROPSIS,N3,N3_2_140,1
CITROPSIS,N3,N3_3_50,2
CITROPSIS,N3,N3_5_40,1
CLA,N3,N3_2_80,1
CLS,N15,N15 _ 4_180,1
CLS,N3,N3_1_100,1
CLS,N3,N3_2_20,2
CLS,N3,N3_2_210,1
CLS,N3,N3_2_80,1
CLS,N3,N3_4_110,1
CLS,N3,N3_4_210,1
CMC,N15,N15  _5_120,1
CMI,N15,N15  _5_100,2
CMI,N15,N15  _5_110,1
CMI,N15,N15  _5_160,2
CMI,N15,N15  _5_170,1
CMI,N15,N15  _5_20,1
CMI,N15,N15  _5_200,1
CMI,N15,N15  _5_40,1
CMI,N15,N15  _5_80,1
CMI,N15,N15  _5_90,2
CMI,N15,N15 _ 4_10,1
CMI,N15,N15 _ 4_120,3
CMI,N15,N15 _ 4_160,1
CMI,N15,N15 _ 4_170,1
CMI,N15,N15 _ 4_190,1
CMI,N15,N15 _ 4_40,1
CMI,N15,N15 _ 4_50,1
CMI,N15,N15 _ 4_60,1
CMI,N15,N15 _ 4_70,1
CMI,N15,N15 _ 4_80,3
CMI,N15,N15 _1_10,1
CMI,N15,N15 _1_100,5
CMI,N15,N15 _1_110,2
CMI,N15,N15 _1_120,6
CMI,N15,N15 _1_130,1
CMI,N15,N15 _1_140,1
CMI,N15,N15 _1_150,3
CMI,N15,N15 _1_190,2
CMI,N15,N15 _1_20,1
CMI,N15,N15 _1_200,1
CMI,N15,N15 _1_30,4
CMI,N15,N15 _1_40,1
CMI,N15,N15 _1_50,1
CMI,N15,N15 _1_60,1
CMI,N15,N15 _1_70,4
CMI,N15,N15 _1_80,1
CMI,N15,N15 _1_90,1
CMI,N15,N15 _2_10,1
CMI,N15,N15 _2_130,2
CMI,N15,N15 _2_140,1
CMI,N15,N15 _2_160,1
CMI,N15,N15 _2_170,1
CMI,N15,N15 _2_190,1
CMI,N15,N15 _2_200,2
CMI,N15,N15 _2_30,2
CMI,N15,N15 _2_40,2
CMI,N15,N15 _2_50,1
CMI,N15,N15 _2_70,1
CMI,N15,N15 _2_80,1
CMI,N15,N15 _3_10,1
CMI,N15,N15 _3_100,1
CMI,N15,N15 _3_180,3
CMI,N15,N15 _3_190,1
CMI,N15,N15 _3_20,2
CMI,N15,N15 _3_200,1
CMI,N15,N15 _3_40,2
CMI,N3,N3_1_10,1
CMI,N3,N3_1_100,2
CMI,N3,N3_1_140,1
CMI,N3,N3_1_150,2
CMI,N3,N3_1_160,1
CMI,N3,N3_1_20,4
CMI,N3,N3_1_200,2
CMI,N3,N3_1_40,3
CMI,N3,N3_1_50,7
CMI,N3,N3_1_60,5
CMI,N3,N3_1_70,1
CMI,N3,N3_1_80,1
CMI,N3,N3_1_90,1
CMI,N3,N3_2_10,2
CMI,N3,N3_2_100,3
CMI,N3,N3_2_110,1
CMI,N3,N3_2_130,2
CMI,N3,N3_2_150,1
CMI,N3,N3_2_170,7
CMI,N3,N3_2_180,1
CMI,N3,N3_2_190,2
CMI,N3,N3_2_20,7
CMI,N3,N3_2_200,5
CMI,N3,N3_2_220,1
CMI,N3,N3_2_230,1
CMI,N3,N3_2_250,1
CMI,N3,N3_2_30,2
CMI,N3,N3_2_40,10
CMI,N3,N3_2_50,1
CMI,N3,N3_2_60,3
CMI,N3,N3_2_70,3
CMI,N3,N3_2_80,2
CMI,N3,N3_2_90,1
CMI,N3,N3_3_10,1
CMI,N3,N3_3_110,10
CMI,N3,N3_3_140,2
CMI,N3,N3_3_150,2
CMI,N3,N3_3_160,2
CMI,N3,N3_3_170,16
CMI,N3,N3_3_180,2
CMI,N3,N3_3_20,6
CMI,N3,N3_3_200,3
CMI,N3,N3_3_30,2
CMI,N3,N3_3_40,3
CMI,N3,N3_3_50,2
CMI,N3,N3_3_60,1
CMI,N3,N3_3_70,2
CMI,N3,N3_3_80,1
CMI,N3,N3_3_90,1
CMI,N3,N3_4_110,7
CMI,N3,N3_4_150,1
CMI,N3,N3_4_160,4
CMI,N3,N3_4_170,1
CMI,N3,N3_4_180,3
CMI,N3,N3_4_20,3
CMI,N3,N3_4_210,2
CMI,N3,N3_4_30,3
CMI,N3,N3_4_40,2
CMI,N3,N3_4_60,1
CMI,N3,N3_5_10,4
CMI,N3,N3_5_110,3
CMI,N3,N3_5_120,2
CMI,N3,N3_5_130,1
CMI,N3,N3_5_150,1
CMI,N3,N3_5_160,1
CMI,N3,N3_5_170,4
CMI,N3,N3_5_190,2
CMI,N3,N3_5_200,1
CMI,N3,N3_5_210,2
CMI,N3,N3_5_30,1
CMI,N3,N3_5_50,1
CMI,N3,N3_5_60,6
CMI,N3,N3_5_80,3
CMI,N3,N3_5_90,3
CMU,N3,N3_4_20,2
CMU,N3,N3_4_30,1
CMU,N3,N3_5_20,4
COG,N15,N15  _5_110,1
COG,N15,N15  _5_140,1
COG,N15,N15  _5_160,3
COG,N15,N15  _5_200,2
COG,N15,N15  _5_60,1
COG,N15,N15 _ 4_120,2
COG,N15,N15 _ 4_130,2
COG,N15,N15 _ 4_170,2
COG,N15,N15 _ 4_180,1
COG,N15,N15 _ 4_40,1
COG,N15,N15 _ 4_60,1
COG,N15,N15 _ 4_70,1
COG,N15,N15 _ 4_90,1
COG,N15,N15 _1_10,1
COG,N15,N15 _1_110,1
COG,N15,N15 _1_150,1
COG,N15,N15 _1_160,1
COG,N15,N15 _1_170,1
COG,N15,N15 _1_200,1
COG,N15,N15 _1_40,5
COG,N15,N15 _1_50,1
COG,N15,N15 _1_80,2
COG,N15,N15 _1_90,1
COG,N15,N15 _2_100,1
COG,N15,N15 _2_110,1
COG,N15,N15 _2_120,1
COG,N15,N15 _2_130,1
COG,N15,N15 _2_150,1
COG,N15,N15 _2_160,1
COG,N15,N15 _2_180,1
COG,N15,N15 _2_20,2
COG,N15,N15 _2_40,3
COG,N15,N15 _2_70,4
COG,N15,N15 _2_80,1
COG,N15,N15 _3_10,1
COG,N15,N15 _3_110,2
COG,N15,N15 _3_120,1
COG,N15,N15 _3_140,1
COG,N15,N15 _3_150,1
COG,N15,N15 _3_170,1
COG,N15,N15 _3_180,1
COG,N15,N15 _3_190,3
COG,N15,N15 _3_200,2
COG,N15,N15 _3_30,3
COG,N15,N15 _3_50,1
COG,N15,N15 _3_60,1
COG,N15,N15 _3_80,1
COG,N3,N3_1_150,1
COG,N3,N3_1_180,1
COG,N3,N3_1_200,3
COG,N3,N3_1_30,1
COG,N3,N3_1_90,3
COG,N3,N3_2_10,2
COG,N3,N3_2_200,1
COG,N3,N3_2_230,1
COG,N3,N3_2_30,2
COG,N3,N3_4_110,2
COG,N3,N3_4_140,1
COG,N3,N3_4_150,1
COG,N3,N3_4_160,3
COG,N3,N3_4_30,2
COG,N3,N3_4_40,2
COG,N3,N3_4_50,1
COG,N3,N3_4_60,4
COG,N3,N3_4_70,1
COS,N15,N15 _1_20,1
COS,N3,N3_4_150,1
COS,N3,N3_4_30,1
COS,N3,N3_4_60,1
CP,N15,N15 _ 4_160,1
CP,N15,N15 _3_150,1
CP,N15,N15 _3_60,1
CP,N3,N3_4_50,1
CPR,N15,N15  _5_20,1
CPR,N15,N15 _1_10,1
CPR,N15,N15 _1_140,1
CPR,N15,N15 _1_70,1
CPR,N15,N15 _2_40,1
CPR,N15,N15 _2_50,1
CPR,N15,N15 _3_190,2
CPR,N3,N3_1_10,1
CPR,N3,N3_1_160,2
CPR,N3,N3_1_20,1
CPR,N3,N3_1_40,1
CPR,N3,N3_1_90,1
CPR,N3,N3_2_100,1
CPR,N3,N3_2_120,1
CPR,N3,N3_2_130,1
CPR,N3,N3_2_80,3
CPR,N3,N3_3_110,1
CPR,N3,N3_3_170,1
CPR,N3,N3_3_180,1
CPR,N3,N3_3_30,1
CPR,N3,N3_3_50,1
CPR,N3,N3_4_40,1
CPR,N3,N3_4_60,1
CPR,N3,N3_5_120,2
CPR,N3,N3_5_130,1
CPR,N3,N3_5_180,2
CPR,N3,N3_5_60,1
CPR,N3,N3_5_70,1
CPR,N3,N3_5_80,1
CSY,N3,N3_1_120,1
CSY,N3,N3_3_20,1
CSY,N3,N3_3_90,1
CTP,N3,N3_2_70,2
CWI,N15,N15  _5_160,1
CWI,N15,N15  _5_20,1
CWI,N15,N15 _ 4_100,1
CWI,N15,N15 _ 4_110,2
CWI,N15,N15 _ 4_40,1
CWI,N15,N15 _1_10,2
CWI,N15,N15 _1_200,1
CWI,N15,N15 _1_80,1
CWI,N15,N15 _2_180,3
CWI,N15,N15 _3_190,1
CWI,N15,N15 _3_200,1
CWI,N3,N3_1_200,1
CWI,N3,N3_1_30,1
CWI,N3,N3_3_10,1
CWI,N3,N3_3_120,1
CWI,N3,N3_3_200,2
CWI,N3,N3_4_30,1
CWI,N3,N3_4_40,1
CWI,N3,N3_4_60,1
CWI,N3,N3_5_210,1
CWI,N3,N3_5_50,1
CWI,N3,N3_5_60,1
CYA,N15,N15  _5_10,5
CYA,N15,N15  _5_100,14
CYA,N15,N15  _5_110,2
CYA,N15,N15  _5_120,4
CYA,N15,N15  _5_130,1
CYA,N15,N15  _5_140,2
CYA,N15,N15  _5_150,7
CYA,N15,N15  _5_160,3
CYA,N15,N15  _5_170,8
CYA,N15,N15  _5_180,16
CYA,N15,N15  _5_190,5
CYA,N15,N15  _5_20,5
CYA,N15,N15  _5_200,6
CYA,N15,N15  _5_30,4
CYA,N15,N15  _5_40,6
CYA,N15,N15  _5_50,12
CYA,N15,N15  _5_60,15
CYA,N15,N15  _5_70,26
CYA,N15,N15  _5_80,4
CYA,N15,N15  _5_90,12
CYA,N15,N15 _ 4_10,8
CYA,N15,N15 _ 4_100,6
CYA,N15,N15 _ 4_110,2
CYA,N15,N15 _ 4_120,12
CYA,N15,N15 _ 4_130,22
CYA,N15,N15 _ 4_140,4
CYA,N15,N15 _ 4_150,6
CYA,N15,N15 _ 4_160,8
CYA,N15,N15 _ 4_170,8
CYA,N15,N15 _ 4_20,22
CYA,N15,N15 _ 4_30,6
CYA,N15,N15 _ 4_40,3
CYA,N15,N15 _ 4_50,7
CYA,N15,N15 _ 4_60,14
CYA,N15,N15 _ 4_70,10
CYA,N15,N15 _ 4_80,5
CYA,N15,N15 _ 4_90,6
CYA,N15,N15 _ 5_10,1
CYA,N15,N15 _1_10,3
CYA,N15,N15 _1_100,13
CYA,N15,N15 _1_110,52
CYA,N15,N15 _1_120,7
CYA,N15,N15 _1_130,23
CYA,N15,N15 _1_140,17
CYA,N15,N15 _1_150,16
CYA,N15,N15 _1_160,14
CYA,N15,N15 _1_180,21
CYA,N15,N15 _1_190,6
CYA,N15,N15 _1_20,1
CYA,N15,N15 _1_200,7
CYA,N15,N15 _1_30,6
CYA,N15,N15 _1_40,10
