"","compartment","alpha_diversity","forest_layer","plot_area","plot.id"
"1","logged",11,"regeneration",16,"N3_1_10"
"2","logged",12,"regeneration",16,"N3_1_100"
"3","logged",11,"regeneration",16,"N3_1_110"
"4","logged",10,"regeneration",16,"N3_1_120"
"5","logged",10,"regeneration",16,"N3_1_130"
"6","logged",10,"regeneration",16,"N3_1_140"
"7","logged",14,"regeneration",16,"N3_1_150"
"8","logged",12,"regeneration",16,"N3_1_160"
"9","logged",12,"regeneration",16,"N3_1_170"
"10","logged",17,"regeneration",16,"N3_1_180"
"11","logged",9,"regeneration",16,"N3_1_190"
"12","logged",8,"regeneration",16,"N3_1_20"
"13","logged",18,"regeneration",16,"N3_1_200"
"14","logged",11,"regeneration",16,"N3_1_30"
"15","logged",9,"regeneration",16,"N3_1_40"
"16","logged",14,"regeneration",16,"N3_1_50"
"17","logged",14,"regeneration",16,"N3_1_60"
"18","logged",12,"regeneration",16,"N3_1_70"
"19","logged",13,"regeneration",16,"N3_1_80"
"20","logged",11,"regeneration",16,"N3_1_90"
"21","logged",14,"regeneration",16,"N3_2_10"
"22","logged",13,"regeneration",16,"N3_2_100"
"23","logged",9,"regeneration",16,"N3_2_110"
"24","logged",11,"regeneration",16,"N3_2_120"
"25","logged",15,"regeneration",16,"N3_2_130"
"26","logged",15,"regeneration",16,"N3_2_140"
"27","logged",11,"regeneration",16,"N3_2_150"
"28","logged",12,"regeneration",16,"N3_2_160"
"29","logged",10,"regeneration",16,"N3_2_170"
"30","logged",9,"regeneration",16,"N3_2_180"
"31","logged",10,"regeneration",16,"N3_2_190"
"32","logged",11,"regeneration",16,"N3_2_20"
"33","logged",9,"regeneration",16,"N3_2_200"
"34","logged",8,"regeneration",16,"N3_2_210"
"35","logged",14,"regeneration",16,"N3_2_220"
"36","logged",9,"regeneration",16,"N3_2_230"
"37","logged",11,"regeneration",16,"N3_2_240"
"38","logged",10,"regeneration",16,"N3_2_250"
"39","logged",14,"regeneration",16,"N3_2_30"
"40","logged",11,"regeneration",16,"N3_2_40"
"41","logged",9,"regeneration",16,"N3_2_50"
"42","logged",9,"regeneration",16,"N3_2_60"
"43","logged",13,"regeneration",16,"N3_2_70"
"44","logged",14,"regeneration",16,"N3_2_80"
"45","logged",9,"regeneration",16,"N3_2_90"
"46","logged",10,"regeneration",16,"N3_3_10"
"47","logged",10,"regeneration",16,"N3_3_110"
"48","logged",11,"regeneration",16,"N3_3_120"
"49","logged",9,"regeneration",16,"N3_3_130"
"50","logged",11,"regeneration",16,"N3_3_140"
"51","logged",10,"regeneration",16,"N3_3_150"
"52","logged",12,"regeneration",16,"N3_3_160"
"53","logged",13,"regeneration",16,"N3_3_170"
"54","logged",13,"regeneration",16,"N3_3_180"
"55","logged",11,"regeneration",16,"N3_3_190"
"56","logged",12,"regeneration",16,"N3_3_20"
"57","logged",14,"regeneration",16,"N3_3_200"
"58","logged",10,"regeneration",16,"N3_3_30"
"59","logged",17,"regeneration",16,"N3_3_40"
"60","logged",12,"regeneration",16,"N3_3_50"
"61","logged",10,"regeneration",16,"N3_3_60"
"62","logged",15,"regeneration",16,"N3_3_70"
"63","logged",7,"regeneration",16,"N3_3_80"
"64","logged",10,"regeneration",16,"N3_3_90"
"65","logged",9,"regeneration",16,"N3_4_10"
"66","logged",7,"regeneration",16,"N3_4_100"
"67","logged",11,"regeneration",16,"N3_4_110"
"68","logged",13,"regeneration",16,"N3_4_120"
"69","logged",8,"regeneration",16,"N3_4_130"
"70","logged",11,"regeneration",16,"N3_4_140"
"71","logged",15,"regeneration",16,"N3_4_150"
"72","logged",11,"regeneration",16,"N3_4_160"
"73","logged",8,"regeneration",16,"N3_4_170"
"74","logged",11,"regeneration",16,"N3_4_180"
"75","logged",11,"regeneration",16,"N3_4_190"
"76","logged",13,"regeneration",16,"N3_4_20"
"77","logged",7,"regeneration",16,"N3_4_200"
"78","logged",12,"regeneration",16,"N3_4_210"
"79","logged",17,"regeneration",16,"N3_4_30"
"80","logged",21,"regeneration",16,"N3_4_40"
"81","logged",13,"regeneration",16,"N3_4_50"
"82","logged",21,"regeneration",16,"N3_4_60"
"83","logged",17,"regeneration",16,"N3_4_70"
"84","logged",10,"regeneration",16,"N3_4_90"
"85","logged",11,"regeneration",16,"N3_5_10"
"86","logged",8,"regeneration",16,"N3_5_100"
"87","logged",13,"regeneration",16,"N3_5_110"
"88","logged",9,"regeneration",16,"N3_5_120"
"89","logged",11,"regeneration",16,"N3_5_130"
"90","logged",11,"regeneration",16,"N3_5_140"
"91","logged",14,"regeneration",16,"N3_5_150"
"92","logged",13,"regeneration",16,"N3_5_160"
"93","logged",14,"regeneration",16,"N3_5_170"
"94","logged",9,"regeneration",16,"N3_5_180"
"95","logged",10,"regeneration",16,"N3_5_190"
"96","logged",10,"regeneration",16,"N3_5_20"
"97","logged",11,"regeneration",16,"N3_5_200"
"98","logged",13,"regeneration",16,"N3_5_210"
"99","logged",10,"regeneration",16,"N3_5_30"
"100","logged",10,"regeneration",16,"N3_5_40"
"101","logged",14,"regeneration",16,"N3_5_50"
"102","logged",15,"regeneration",16,"N3_5_60"
"103","logged",10,"regeneration",16,"N3_5_70"
"104","logged",15,"regeneration",16,"N3_5_80"
"105","logged",17,"regeneration",16,"N3_5_90"
"106","logged",20,"canopy",1000,"N3_1_10"
"107","logged",15,"canopy",1000,"N3_1_100"
"108","logged",17,"canopy",1000,"N3_1_110"
"109","logged",22,"canopy",1000,"N3_1_120"
"110","logged",26,"canopy",1000,"N3_1_130"
"111","logged",22,"canopy",1000,"N3_1_140"
"112","logged",17,"canopy",1000,"N3_1_150"
"113","logged",21,"canopy",1000,"N3_1_160"
"114","logged",23,"canopy",1000,"N3_1_170"
"115","logged",23,"canopy",1000,"N3_1_180"
"116","logged",14,"canopy",1000,"N3_1_190"
"117","logged",20,"canopy",1000,"N3_1_20"
"118","logged",21,"canopy",1000,"N3_1_200"
"119","logged",19,"canopy",1000,"N3_1_30"
"120","logged",18,"canopy",1000,"N3_1_40"
"121","logged",19,"canopy",1000,"N3_1_50"
"122","logged",17,"canopy",1000,"N3_1_60"
"123","logged",23,"canopy",1000,"N3_1_70"
"124","logged",13,"canopy",1000,"N3_1_80"
"125","logged",25,"canopy",1000,"N3_1_90"
"126","logged",16,"canopy",1000,"N3_2_10"
"127","logged",15,"canopy",1000,"N3_2_100"
"128","logged",15,"canopy",1000,"N3_2_110"
"129","logged",24,"canopy",1000,"N3_2_120"
"130","logged",17,"canopy",1000,"N3_2_130"
"131","logged",19,"canopy",1000,"N3_2_140"
"132","logged",17,"canopy",1000,"N3_2_150"
"133","logged",20,"canopy",1000,"N3_2_160"
"134","logged",13,"canopy",1000,"N3_2_170"
"135","logged",19,"canopy",1000,"N3_2_180"
"136","logged",14,"canopy",1000,"N3_2_190"
"137","logged",18,"canopy",1000,"N3_2_20"
"138","logged",15,"canopy",1000,"N3_2_200"
"139","logged",22,"canopy",1000,"N3_2_210"
"140","logged",19,"canopy",1000,"N3_2_220"
"141","logged",18,"canopy",1000,"N3_2_230"
"142","logged",17,"canopy",1000,"N3_2_240"
"143","logged",25,"canopy",1000,"N3_2_250"
"144","logged",21,"canopy",1000,"N3_2_30"
"145","logged",15,"canopy",1000,"N3_2_40"
"146","logged",18,"canopy",1000,"N3_2_50"
"147","logged",23,"canopy",1000,"N3_2_60"
"148","logged",19,"canopy",1000,"N3_2_70"
"149","logged",16,"canopy",1000,"N3_2_80"
"150","logged",16,"canopy",1000,"N3_2_90"
"151","logged",23,"canopy",1000,"N3_3_10"
"152","logged",23,"canopy",1000,"N3_3_110"
"153","logged",16,"canopy",1000,"N3_3_120"
"154","logged",23,"canopy",1000,"N3_3_130"
"155","logged",21,"canopy",1000,"N3_3_140"
"156","logged",18,"canopy",1000,"N3_3_150"
"157","logged",22,"canopy",1000,"N3_3_160"
"158","logged",21,"canopy",1000,"N3_3_170"
"159","logged",19,"canopy",1000,"N3_3_180"
"160","logged",22,"canopy",1000,"N3_3_190"
"161","logged",22,"canopy",1000,"N3_3_20"
"162","logged",17,"canopy",1000,"N3_3_200"
"163","logged",18,"canopy",1000,"N3_3_30"
"164","logged",16,"canopy",1000,"N3_3_40"
"165","logged",24,"canopy",1000,"N3_3_50"
"166","logged",13,"canopy",1000,"N3_3_60"
"167","logged",17,"canopy",1000,"N3_3_70"
"168","logged",18,"canopy",1000,"N3_3_80"
"169","logged",17,"canopy",1000,"N3_3_90"
"170","logged",13,"canopy",1000,"N3_4_10"
"171","logged",3,"canopy",1000,"N3_4_100"
"172","logged",14,"canopy",1000,"N3_4_110"
"173","logged",24,"canopy",1000,"N3_4_120"
"174","logged",18,"canopy",1000,"N3_4_130"
"175","logged",15,"canopy",1000,"N3_4_140"
"176","logged",15,"canopy",1000,"N3_4_150"
"177","logged",15,"canopy",1000,"N3_4_160"
"178","logged",19,"canopy",1000,"N3_4_170"
"179","logged",20,"canopy",1000,"N3_4_180"
"180","logged",20,"canopy",1000,"N3_4_190"
"181","logged",19,"canopy",1000,"N3_4_20"
"182","logged",16,"canopy",1000,"N3_4_200"
"183","logged",17,"canopy",1000,"N3_4_210"
"184","logged",21,"canopy",1000,"N3_4_30"
"185","logged",20,"canopy",1000,"N3_4_40"
"186","logged",19,"canopy",1000,"N3_4_50"
"187","logged",23,"canopy",1000,"N3_4_60"
"188","logged",19,"canopy",1000,"N3_4_70"
"189","logged",12,"canopy",1000,"N3_4_90"
"190","logged",18,"canopy",1000,"N3_5_10"
"191","logged",17,"canopy",1000,"N3_5_100"
"192","logged",21,"canopy",1000,"N3_5_110"
"193","logged",14,"canopy",1000,"N3_5_120"
"194","logged",17,"canopy",1000,"N3_5_130"
"195","logged",14,"canopy",1000,"N3_5_140"
"196","logged",15,"canopy",1000,"N3_5_150"
"197","logged",11,"canopy",1000,"N3_5_160"
"198","logged",15,"canopy",1000,"N3_5_170"
"199","logged",24,"canopy",1000,"N3_5_180"
"200","logged",19,"canopy",1000,"N3_5_190"
"201","logged",20,"canopy",1000,"N3_5_20"
"202","logged",25,"canopy",1000,"N3_5_200"
"203","logged",18,"canopy",1000,"N3_5_210"
"204","logged",21,"canopy",1000,"N3_5_30"
"205","logged",24,"canopy",1000,"N3_5_40"
"206","logged",19,"canopy",1000,"N3_5_50"
"207","logged",22,"canopy",1000,"N3_5_60"
"208","logged",18,"canopy",1000,"N3_5_70"
"209","logged",17,"canopy",1000,"N3_5_80"
"210","logged",17,"canopy",1000,"N3_5_90"
