"","AAL","AB","AC","AGL","AL","ALB","ALD","AN","ANC","ANI","ANL","ANT","AZ","BEH","BEO","BLU","BOS","BP","BPW","BRB","CAL","CCA","CDU","CITROPSIS","CLA","CLS","CMC","CMG","CMI","CMU","CNS","COG","COM","COR","COS","CP","CPR","CROTON","CRP","CSY","CTP","CWI","CWT","CYA","CYS","CZE","DCC","DD","DS","DSP","DU","EC","EE","ENA","ENC","ENT","ES","FAA","FAN","FE","FM","FMA","FMU","FNA","FPO","FSS","FST","FSU","FUE","FVR","GC","GH","GM","GR","GS","HG","KA","KLG","LA","LM","LM ","LOVAO","LPD","LPM","LSY","LYC","MA","MD","MDI","ME","MEL","MEX","MIE","MLS","MO","MOA","MOL","MRK","MST","MYH","NONE","OUH","PAT","PD","PG","PHD","PN","PSG","PSM","PYA","RA","RD","RH","RI","RISENONED","SA","SE","SS","STR","TAF","TD","TH","TN","TR","TRD","TRP","TRR","TT","UC","UNK","UNK 4","UNK2","UNK3","UNK5","UNK6","VAM"
"Logged_1_10",0,1,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,2,0,0,0,1,0,0,0,1,0,0,2,0,2,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,14,2,0,0,0,0,2,0,2,0,0,4,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0
"Logged_1_100",0,0,0,0,3,0,0,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,1,1,0,0,0,0,0,0,0
"Logged_1_110",0,0,0,0,0,0,0,0,0,0,1,4,2,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0
"Logged_1_120",0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,1,0,6,0,0,19,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0
"Logged_1_130",0,2,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,2,0,5,0,0,2,0,0,4,0,0,0,1,0,0,0,1,0,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,16,0,0,21,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,1,0,0,0,4,1,0,1,3,0,0,0,0,0,0
"Logged_1_140",0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,1,0,2,0,0,4,0,0,0,0,2,0,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,1,0,0,0,0,3,0,6,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,2,0,0,0,0,0,6,3,0,0,3,0,0,0,0,0,0
"Logged_1_150",0,1,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,1,0,2,0,0,14,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"Logged_1_160",0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,8,0,16,0,0,14,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,1,1,0,2,0,0,0,7,5,0,0,1,0,0,0,0,0,0
"Logged_1_170",0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,2,1,0,0,1,0,0,0,0,1
"Logged_1_180",0,2,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,2,2,0,0,22,0,0,0,0,0,4,3,0,0,0,1,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,5,0,1,1,0,0,0,4,0,0,1,0,0,0,0,0,0
"Logged_1_190",1,1,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,70,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Logged_1_20",1,1,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,1,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,7,0,0,12,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Logged_1_200",1,1,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,1,0,0,2,0,0,0,0,0,0,0,16,0,0,4,0,0,0,0,1,0,0,0,0,1,0,6,0,1,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,51,0,0,1,2,0,1,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,2,1,0,2,0,0,0,0,0,0,0
"Logged_1_30",0,1,0,0,2,0,0,0,0,0,1,4,0,0,0,0,0,2,0,0,2,0,3,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,2,0,10,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,12,0,0,0,0,0,0,0,0,0
"Logged_1_40",0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,2,0,0,26,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,1,0,0,0,14,0,0,0,0,0,0,0,0,0
"Logged_1_50",0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,1,0,0,0,0,3,0,0,35,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,20,0,0,0,0,2,2,0,1,0,0,0,1,10,0,0,0,0,0,1,0,0,0
"Logged_1_60",0,0,0,0,4,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,22,0,0,0,0,0,0,0,1,0,0,2,0,0,0,6,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,1,4,0,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0
"Logged_1_70",0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,1,0,0,0,0,3,0,0,0,6,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,2,0,0,0,0,2,0,3,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,1,0,1,2,0,0,1,0,0,1,4,0,0,0,0,0,0
"Logged_1_80",0,0,0,1,0,0,0,0,0,0,4,1,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,2,0,0,2,5,0,0,0,0,0,0,0,0,0
"Logged_1_90",0,1,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,3,0,0,0,0,2,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0,3,0,0,16,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,0,0,0,0,1,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0
"Logged_2_10",0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,6,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,0,0,0,0,0,0,1,4,0,0,9,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,3,0,0,0,3,3,0,0,1,0,0,0,0,0,0
"Logged_2_100",1,2,0,0,4,0,0,0,0,0,0,4,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,18,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0
"Logged_2_110",0,0,0,0,2,0,0,0,0,0,2,1,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Logged_2_120",0,2,0,0,7,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,8,0,0,0,1,0,1,0,2,0,1,0,0,0,0,2,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,11,0,0,0,0,0,0,2,2,0,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Logged_2_130",0,0,0,0,1,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,16,0,0,0,0,0,0,0,2,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,4,2,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,3,1,0,0,0,5,0,0,11,0,0,0,0,0,0
"Logged_2_140",0,0,0,1,1,0,0,0,0,0,1,5,3,0,0,0,0,2,0,0,1,0,2,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,6,0,0,5,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,3,0,0,3,7,1,0,0,0,0,0,0,0,0
"Logged_2_150",0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,3,13,0,0,1,0,0,0,0,0,0
"Logged_2_160",1,1,0,0,1,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1,0,0,0,0,0,1,4,0,0,22,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,0,0,1,2,0,0,0,0,2,0,0,0,0
"Logged_2_170",0,2,0,0,8,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0
"Logged_2_180",0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,1,0,4,0,0,0,0,1,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Logged_2_190",0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0
"Logged_2_20",0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,10,0,0,2,1,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,29,1,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
